DATE,SP500
1985-01-01,179.6300048828125
1985-02-01,181.17999267578125
1985-03-01,180.66000366210938
1985-04-01,179.8300018310547
1985-05-01,189.5500030517578
1985-06-01,191.85000610351562
1985-07-01,190.9199981689453
1985-08-01,188.6300048828125
1985-09-01,182.0800018310547
1985-10-01,189.82000732421875
1985-11-01,202.1699981689453
1985-12-01,211.27999877929688
1986-01-01,211.77999877929688
1986-02-01,226.9199981689453
1986-03-01,238.89999389648438
1986-04-01,235.52000427246094
1986-05-01,247.35000610351562
1986-06-01,250.83999633789062
1986-07-01,236.1199951171875
1986-08-01,252.92999267578125
1986-09-01,231.32000732421875
1986-10-01,243.97999572753906
1986-11-01,249.22000122070312
1986-12-01,242.1699981689453
1987-01-01,274.0799865722656
1987-02-01,284.20001220703125
1987-03-01,291.70001220703125
1987-04-01,288.3599853515625
1987-05-01,290.1000061035156
1987-06-01,304.0
1987-07-01,318.6600036621094
1987-08-01,329.79998779296875
1987-09-01,321.8299865722656
1987-10-01,251.7899932861328
1987-11-01,230.3000030517578
1987-12-01,247.0800018310547
1988-01-01,257.07000732421875
1988-02-01,267.82000732421875
1988-03-01,258.8900146484375
1988-04-01,261.3299865722656
1988-05-01,262.1600036621094
1988-06-01,273.5
1988-07-01,272.0199890136719
1988-08-01,261.5199890136719
1988-09-01,271.9100036621094
1988-10-01,278.9700012207031
1988-11-01,273.70001220703125
1988-12-01,277.7200012207031
1989-01-01,297.4700012207031
1989-02-01,288.8599853515625
1989-03-01,294.8699951171875
1989-04-01,309.6400146484375
1989-05-01,320.5199890136719
1989-06-01,317.9800109863281
1989-07-01,346.0799865722656
1989-08-01,351.45001220703125
1989-09-01,349.1499938964844
1989-10-01,340.3599853515625
1989-11-01,345.989990234375
1989-12-01,353.3999938964844
1990-01-01,329.0799865722656
1990-02-01,331.8900146484375
1990-03-01,339.94000244140625
1990-04-01,330.79998779296875
1990-05-01,361.2300109863281
1990-06-01,358.0199890136719
1990-07-01,356.1499938964844
1990-08-01,322.55999755859375
1990-09-01,306.04998779296875
1990-10-01,304.0
1990-11-01,322.2200012207031
1990-12-01,330.2200012207031
1991-01-01,343.92999267578125
1991-02-01,367.07000732421875
1991-03-01,375.2200012207031
1991-04-01,375.3399963378906
1991-05-01,389.8299865722656
1991-06-01,371.1600036621094
1991-07-01,387.80999755859375
