DATE,PMSAVE
1959-01-01,39.6
1959-02-01,37.5
1959-03-01,36.5
1959-04-01,40.0
1959-05-01,38.1
1959-06-01,38.2
1959-07-01,38.7
1959-08-01,34.7
1959-09-01,31.6
1959-10-01,34.1
1959-11-01,36.8
1959-12-01,40.7
1960-01-01,40.6
1960-02-01,39.2
1960-03-01,35.0
1960-04-01,31.4
1960-05-01,38.9
1960-06-01,39.3
1960-07-01,39.3
1960-08-01,38.8
1960-09-01,37.7
1960-10-01,37.4
1960-11-01,37.1
1960-12-01,39.5
1961-01-01,42.3
1961-02-01,42.7
1961-03-01,40.2
1961-04-01,40.8
1961-05-01,41.9
1961-06-01,45.1
1961-07-01,47.5
1961-08-01,46.3
1961-09-01,44.8
1961-10-01,46.8
1961-11-01,47.1
1961-12-01,47.1
1962-01-01,46.1
1962-02-01,48.2
1962-03-01,48.0
1962-04-01,48.6
1962-05-01,46.0
1962-06-01,47.8
1962-07-01,48.3
1962-08-01,47.7
1962-09-01,44.0
1962-10-01,47.8
1962-11-01,44.0
1962-12-01,43.8
1963-01-01,47.0
1963-02-01,45.9
1963-03-01,45.6
1963-04-01,46.0
1963-05-01,47.4
1963-06-01,45.9
1963-07-01,44.4
1963-08-01,44.8
1963-09-01,48.7
1963-10-01,51.5
1963-11-01,49.5
1963-12-01,48.5
1964-01-01,48.8
1964-02-01,47.5
1964-03-01,56.9
1964-04-01,58.6
1964-05-01,55.5
1964-06-01,54.7
1964-07-01,53.8
1964-08-01,53.4
1964-09-01,57.1
1964-10-01,54.2
1964-11-01,61.1
1964-12-01,61.8
1965-01-01,59.9
1965-02-01,53.2
1965-03-01,53.5
1965-04-01,50.8
1965-05-01,56.8
1965-06-01,61.3
1965-07-01,61.1
1965-08-01,60.3
1965-09-01,66.4
1965-10-01,57.5
1965-11-01,61.4
1965-12-01,62.9
1966-01-01,60.4
1966-02-01,59.7
1966-03-01,58.3
1966-04-01,56.0
1966-05-01,61.3
1966-06-01,62.5
1966-07-01,60.3
1966-08-01,62.7
1966-09-01,61.7
1966-10-01,65.8
1966-11-01,67.4
1966-12-01,66.2
1967-01-01,69.6
1967-02-01,72.6
1967-03-01,74.4
1967-04-01,69.2
1967-05-01,70.5
1967-06-01,70.0
1967-07-01,74.8
1967-08-01,75.6
1967-09-01,71.5
1967-10-01,77.5
1967-11-01,77.9
1967-12-01,72.2
1968-01-01,72.4
1968-02-01,76.6
1968-03-01,73.6
1968-04-01,78.0
1968-05-01,77.0
1968-06-01,75.4
1968-07-01,68.8
1968-08-01,68.3
1968-09-01,69.3
1968-10-01,71.0
1968-11-01,70.5
1968-12-01,74.2
1969-01-01,68.5
1969-02-01,64.9
1969-03-01,68.9
1969-04-01,65.5
1969-05-01,69.4
1969-06-01,76.9
1969-07-01,82.9
1969-08-01,81.7
1969-09-01,82.8
1969-10-01,81.5
1969-11-01,83.7
1969-12-01,85.9
1970-01-01,86.3
1970-02-01,86.1
1970-03-01,92.4
